Algorithm,Data Type,Size,Time (ms),Comparisons
"QuickSort","random",100,0.0263,584
"MergeSort","random",100,0.1412,534
"StringQuickSort","random",100,0.0127,624
"StringMergeSort","random",100,0.1692,534
"MSDRadixSort","random",100,0.1225,176
"MSDRadixSortWithSwitch","random",100,0.0235,158
"QuickSort","random",200,0.0594,1391
"MergeSort","random",200,0.2788,1283
"StringQuickSort","random",200,0.0275,1442
"StringMergeSort","random",200,0.3581,1283
"MSDRadixSort","random",200,0.151,405
"MSDRadixSortWithSwitch","random",200,0.0349,449
"QuickSort","random",300,0.0652,2397
"MergeSort","random",300,0.4153,2088
"StringQuickSort","random",300,0.0272,2165
"StringMergeSort","random",300,0.3574,2088
"MSDRadixSort","random",300,0.2172,627
"MSDRadixSortWithSwitch","random",300,0.0529,767
"QuickSort","random",400,0.0675,3749
"MergeSort","random",400,0.4104,2954
"StringQuickSort","random",400,0.0383,3214
"StringMergeSort","random",400,0.4475,2954
"MSDRadixSort","random",400,0.2817,846
"MSDRadixSortWithSwitch","random",400,0.0845,1131
"QuickSort","random",500,0.0861,4859
"MergeSort","random",500,0.5465,3835
"StringQuickSort","random",500,0.052,4782
"StringMergeSort","random",500,0.6536,3835
"MSDRadixSort","random",500,0.3248,1065
"MSDRadixSortWithSwitch","random",500,0.1102,1526
"QuickSort","random",600,0.1648,5740
"MergeSort","random",600,0.6968,4755
"StringQuickSort","random",600,0.0737,5362
"StringMergeSort","random",600,0.7992,4755
"MSDRadixSort","random",600,0.5726,1282
"MSDRadixSortWithSwitch","random",600,0.1132,1943
"QuickSort","random",700,0.1271,7479
"MergeSort","random",700,0.8107,5722
"StringQuickSort","random",700,0.0726,6540
"StringMergeSort","random",700,0.9149,5722
"MSDRadixSort","random",700,0.408,1508
"MSDRadixSortWithSwitch","random",700,0.1318,2416
"QuickSort","random",800,0.1485,8893
"MergeSort","random",800,0.9164,6705
"StringQuickSort","random",800,0.087,7888
"StringMergeSort","random",800,1.0501,6705
"MSDRadixSort","random",800,0.4779,1736
"MSDRadixSortWithSwitch","random",800,0.1602,2945
"QuickSort","random",900,0.1617,9500
"MergeSort","random",900,1.065,7702
"StringQuickSort","random",900,0.0991,8321
"StringMergeSort","random",900,1.2335,7702
"MSDRadixSort","random",900,0.5269,1964
"MSDRadixSortWithSwitch","random",900,0.1835,3417
"QuickSort","random",1000,0.2172,10526
"MergeSort","random",1000,1.3974,8677
"StringQuickSort","random",1000,0.1056,9017
"StringMergeSort","random",1000,1.3237,8677
"MSDRadixSort","random",1000,0.5928,2186
"MSDRadixSortWithSwitch","random",1000,0.2144,3982
"QuickSort","random",1100,0.2711,12540
"MergeSort","random",1100,1.3077,9702
"StringQuickSort","random",1100,0.1183,10271
"StringMergeSort","random",1100,1.4991,9702
"MSDRadixSort","random",1100,0.6433,2430
"MSDRadixSortWithSwitch","random",1100,0.2197,4535
"QuickSort","random",1200,0.2363,14833
"MergeSort","random",1200,1.4157,10740
"StringQuickSort","random",1200,0.1361,11863
"StringMergeSort","random",1200,1.6481,10740
"MSDRadixSort","random",1200,0.719,2670
"MSDRadixSortWithSwitch","random",1200,0.2491,5087
"QuickSort","random",1300,0.2545,15080
"MergeSort","random",1300,1.5175,11830
"StringQuickSort","random",1300,0.1474,12800
"StringMergeSort","random",1300,1.7986,11830
"MSDRadixSort","random",1300,0.7675,2904
"MSDRadixSortWithSwitch","random",1300,0.2484,5683
"QuickSort","random",1400,0.2626,15092
"MergeSort","random",1400,1.6714,12862
"StringQuickSort","random",1400,0.1673,14250
"StringMergeSort","random",1400,1.9724,12862
"MSDRadixSort","random",1400,0.8453,3146
"MSDRadixSortWithSwitch","random",1400,0.2861,6266
"QuickSort","random",1500,0.3598,16563
"MergeSort","random",1500,1.9435,13945
"StringQuickSort","random",1500,0.176,16285
"StringMergeSort","random",1500,2.0861,13945
"MSDRadixSort","random",1500,0.9007,3388
"MSDRadixSortWithSwitch","random",1500,0.322,6897
"QuickSort","random",1600,0.3834,19021
