Algorithm,Data Type,Size,Time (ms),Comparisons
"MSDRadixSortWithSwitch","random",2100,0.4402,10705
"QuickSort","random",2200,0.5907,27796
"MergeSort","random",2200,2.7397,21675
"StringQuickSort","random",2200,0.2834,26823
"StringMergeSort","random",2200,3.3462,21675
"MSDRadixSort","random",2200,1.4237,5169
"MSDRadixSortWithSwitch","random",2200,0.4667,11304
"QuickSort","random",2300,0.4749,29454
"MergeSort","random",2300,2.87,22780
"StringQuickSort","random",2300,0.2926,26570
"StringMergeSort","random",2300,3.3675,22780
"MSDRadixSort","random",2300,1.5342,5428
"MSDRadixSortWithSwitch","random",2300,0.4984,11956
"QuickSort","random",2400,0.5337,31966
"MergeSort","random",2400,3.0587,23952
"StringQuickSort","random",2400,0.3139,29362
"StringMergeSort","random",2400,3.5886,23952
"MSDRadixSort","random",2400,1.5807,5685
"MSDRadixSortWithSwitch","random",2400,0.5457,12647
"QuickSort","random",2500,0.5598,30931
"MergeSort","random",2500,3.1581,25100
"StringQuickSort","random",2500,0.3281,30498
"StringMergeSort","random",2500,3.7073,25100
"MSDRadixSort","random",2500,1.6073,5943
"MSDRadixSortWithSwitch","random",2500,0.5435,13423
"QuickSort","random",2600,0.5645,34323
"MergeSort","random",2600,3.4504,26272
"StringQuickSort","random",2600,0.3473,33020
"StringMergeSort","random",2600,3.8921,26272
"MSDRadixSort","random",2600,1.68,6222
"MSDRadixSortWithSwitch","random",2600,0.5554,14133
"QuickSort","random",2700,0.5694,35289
"MergeSort","random",2700,3.4169,27419
"StringQuickSort","random",2700,0.3457,30885
"StringMergeSort","random",2700,4.0985,27419
"MSDRadixSort","random",2700,1.7595,6493
"MSDRadixSortWithSwitch","random",2700,0.5588,14787
"QuickSort","random",2800,0.613,36530
"MergeSort","random",2800,3.5908,28573
"StringQuickSort","random",2800,0.3595,31982
"StringMergeSort","random",2800,4.3674,28573
"MSDRadixSort","random",2800,1.8669,6752
"MSDRadixSortWithSwitch","random",2800,0.601,15499
"QuickSort","random",2900,0.637,38192
"MergeSort","random",2900,3.7432,29770
"StringQuickSort","random",2900,0.3978,36612
"StringMergeSort","random",2900,4.5679,29770
"MSDRadixSort","random",2900,1.9216,7024
"MSDRadixSortWithSwitch","random",2900,0.6226,16161
"QuickSort","random",3000,0.6699,40185
"MergeSort","random",3000,3.8502,30901
"StringQuickSort","random",3000,0.3992,36821
"StringMergeSort","random",3000,4.7688,30901
"MSDRadixSort","random",3000,2.0153,7282
"MSDRadixSortWithSwitch","random",3000,0.6508,16938
"QuickSort","reverse_sorted",100,0.0595,4950
"MergeSort","reverse_sorted",100,0.0853,316
"StringQuickSort","reverse_sorted",100,0.0135,1604
"StringMergeSort","reverse_sorted",100,0.1095,316
"MSDRadixSort","reverse_sorted",100,0.0628,247
"MSDRadixSortWithSwitch","reverse_sorted",100,0.0252,1855
"QuickSort","reverse_sorted",200,0.226,19900
"MergeSort","reverse_sorted",200,0.171,732
"StringQuickSort","reverse_sorted",200,0.0215,2479
"StringMergeSort","reverse_sorted",200,0.2044,732
"MSDRadixSort","reverse_sorted",200,0.1224,488
"MSDRadixSortWithSwitch","reverse_sorted",200,0.0508,3494
"QuickSort","reverse_sorted",300,0.4856,44850
"MergeSort","reverse_sorted",300,0.3199,1180
"StringQuickSort","reverse_sorted",300,0.0411,4963
"StringMergeSort","reverse_sorted",300,0.3154,1180
"MSDRadixSort","reverse_sorted",300,0.1859,731
"MSDRadixSortWithSwitch","reverse_sorted",300,0.0752,5268
"QuickSort","reverse_sorted",400,0.8592,79800
"MergeSort","reverse_sorted",400,0.3792,1664
"StringQuickSort","reverse_sorted",400,0.0475,5658
"StringMergeSort","reverse_sorted",400,0.4261,1664
"MSDRadixSort","reverse_sorted",400,0.2427,964
"MSDRadixSortWithSwitch","reverse_sorted",400,0.2013,6732
"QuickSort","reverse_sorted",500,1.3117,124750
"MergeSort","reverse_sorted",500,0.4772,2216
"StringQuickSort","reverse_sorted",500,0.0694,8577
"StringMergeSort","reverse_sorted",500,0.5642,2216
"MSDRadixSort","reverse_sorted",500,0.3074,1223
"MSDRadixSortWithSwitch","reverse_sorted",500,0.1425,8205
"QuickSort","reverse_sorted",600,1.8796,179700
"MergeSort","reverse_sorted",600,0.6201,2660
"StringQuickSort","reverse_sorted",600,0.0856,10627
"StringMergeSort","reverse_sorted",600,0.7266,2660
"MSDRadixSort","reverse_sorted",600,0.3631,1452
"MSDRadixSortWithSwitch","reverse_sorted",600,0.1713,10029
"QuickSort","reverse_sorted",700,2.5715,244650
"MergeSort","reverse_sorted",700,0.9322,3172
"StringQuickSort","reverse_sorted",700,0.1087,13768
"StringMergeSort","reverse_sorted",700,0.8831,3172
"MSDRadixSort","reverse_sorted",700,0.4455,1696
"MSDRadixSortWithSwitch","reverse_sorted",700,0.1852,11867
"QuickSort","reverse_sorted",800,3.2802,319600
"MergeSort","reverse_sorted",800,0.8757,3728
"StringQuickSort","reverse_sorted",800,0.133,16272
"StringMergeSort","reverse_sorted",800,0.9632,3728
"MSDRadixSort","reverse_sorted",800,0.498,1939
"MSDRadixSortWithSwitch","reverse_sorted",800,0.2229,13476
"QuickSort","reverse_sorted",900,4.2327,404550
"MergeSort","reverse_sorted",900,0.9673,4304
"StringQuickSort","reverse_sorted",900,0.1636,20221
"StringMergeSort","reverse_sorted",900,1.2175,4304
"MSDRadixSort","reverse_sorted",900,0.601,2184
"MSDRadixSortWithSwitch","reverse_sorted",900,0.2176,14833
"QuickSort","reverse_sorted",1000,5.266,499500
"MergeSort","reverse_sorted",1000,1.1272,4932
"StringQuickSort","reverse_sorted",1000,0.1894,23805
"StringMergeSort","reverse_sorted",1000,1.2992,4932
"MSDRadixSort","reverse_sorted",1000,0.6665,2421
"MSDRadixSortWithSwitch","reverse_sorted",1000,0.2758,16554
"QuickSort","reverse_sorted",1100,6.4322,604450
"MergeSort","reverse_sorted",1100,1.2513,5420
"StringQuickSort","reverse_sorted",1100,0.2162,26591
"StringMergeSort","reverse_sorted",1100,1.4237,5420
"MSDRadixSort","reverse_sorted",1100,0.7099,2660
"MSDRadixSortWithSwitch","reverse_sorted",1100,0.2953,18270
"QuickSort","reverse_sorted",1200,7.692,719400
"MergeSort","reverse_sorted",1200,1.3747,5920
"StringQuickSort","reverse_sorted",1200,0.33,30065
"StringMergeSort","reverse_sorted",1200,1.8293,5920
"MSDRadixSort","reverse_sorted",1200,0.818,2913
"MSDRadixSortWithSwitch","reverse_sorted",1200,0.3337,19902
"QuickSort","reverse_sorted",1300,9.0836,844350
"MergeSort","reverse_sorted",1300,1.7674,6480
"StringQuickSort","reverse_sorted",1300,0.2824,35931
"StringMergeSort","reverse_sorted",1300,1.6983,6480
"MSDRadixSort","reverse_sorted",1300,0.8787,3165
