Algorithm,Data Type,Size,Time (ms),Comparisons
"QuickSort","random",100,0.0145,586
"MergeSort","random",100,0.1023,551
"StringQuickSort","random",100,0.0088,664
"StringMergeSort","random",100,0.1119,551
"MSDRadixSort","random",100,0.0771,175
"MSDRadixSortWithSwitch","random",100,0.0185,157
"QuickSort","random",200,0.0291,1510
"MergeSort","random",200,0.1912,1282
"StringQuickSort","random",200,0.0192,1657
"StringMergeSort","random",200,0.2286,1282
"MSDRadixSort","random",200,0.1459,387
"MSDRadixSortWithSwitch","random",200,0.0323,401
"QuickSort","random",300,0.0704,2831
"MergeSort","random",300,0.3234,2098
"StringQuickSort","random",300,0.0292,2632
"StringMergeSort","random",300,0.4031,2098
"MSDRadixSort","random",300,0.2023,611
"MSDRadixSortWithSwitch","random",300,0.0536,718
"QuickSort","random",400,0.071,3726
"MergeSort","random",400,0.4304,2964
"StringQuickSort","random",400,0.0444,4077
"StringMergeSort","random",400,0.4727,2964
"MSDRadixSort","random",400,0.2571,818
"MSDRadixSortWithSwitch","random",400,0.0701,1091
"QuickSort","random",500,0.1518,4562
"MergeSort","random",500,0.536,3867
"StringQuickSort","random",500,0.0532,4685
"StringMergeSort","random",500,0.6041,3867
"MSDRadixSort","random",500,0.2908,1037
"MSDRadixSortWithSwitch","random",500,0.1048,1483
"QuickSort","random",600,0.1363,5783
"MergeSort","random",600,0.6328,4783
"StringQuickSort","random",600,0.0632,5882
"StringMergeSort","random",600,0.7426,4783
"MSDRadixSort","random",600,0.3507,1253
"MSDRadixSortWithSwitch","random",600,0.1319,1903
"QuickSort","random",700,0.1513,6742
"MergeSort","random",700,0.7856,5735
"StringQuickSort","random",700,0.0757,7010
"StringMergeSort","random",700,0.9214,5735
"MSDRadixSort","random",700,0.3895,1477
"MSDRadixSortWithSwitch","random",700,0.1437,2387
"QuickSort","random",800,0.1501,8923
"MergeSort","random",800,0.8994,6719
"StringQuickSort","random",800,0.0863,7921
"StringMergeSort","random",800,1.3943,6719
"MSDRadixSort","random",800,0.4327,1707
"MSDRadixSortWithSwitch","random",800,0.1782,2895
"QuickSort","random",900,0.2566,9110
"MergeSort","random",900,1.1487,7716
"StringQuickSort","random",900,0.1025,9751
"StringMergeSort","random",900,1.2465,7716
"MSDRadixSort","random",900,0.4834,1918
"MSDRadixSortWithSwitch","random",900,0.1916,3393
"QuickSort","random",1000,0.2918,10360
"MergeSort","random",1000,1.1914,8729
"StringQuickSort","random",1000,0.1115,10461
"StringMergeSort","random",1000,1.3767,8729
"MSDRadixSort","random",1000,0.5641,2151
"MSDRadixSortWithSwitch","random",1000,0.1939,3899
"QuickSort","random",1100,0.2521,11675
"MergeSort","random",1100,1.2826,9729
"StringQuickSort","random",1100,0.1206,10723
"StringMergeSort","random",1100,1.8072,9729
"MSDRadixSort","random",1100,0.6702,2405
"MSDRadixSortWithSwitch","random",1100,0.2165,4454
"QuickSort","random",1200,0.2185,12802
"MergeSort","random",1200,1.4345,10804
"StringQuickSort","random",1200,0.1395,12935
"StringMergeSort","random",1200,1.7121,10804
"MSDRadixSort","random",1200,0.7038,2639
"MSDRadixSortWithSwitch","random",1200,0.2396,5014
"QuickSort","random",1300,0.304,14363
"MergeSort","random",1300,1.5624,11867
"StringQuickSort","random",1300,0.1546,14378
"StringMergeSort","random",1300,1.8165,11867
"MSDRadixSort","random",1300,0.736,2865
"MSDRadixSortWithSwitch","random",1300,0.2633,5614
"QuickSort","random",1400,0.3258,16436
"MergeSort","random",1400,1.714,12894
"StringQuickSort","random",1400,0.1733,16406
"StringMergeSort","random",1400,1.9659,12894
"MSDRadixSort","random",1400,0.8128,3111
"MSDRadixSortWithSwitch","random",1400,0.289,6284
"QuickSort","random",1500,0.2826,17040
"MergeSort","random",1500,1.8469,13982
"StringQuickSort","random",1500,0.1851,16648
"StringMergeSort","random",1500,2.1267,13982
"MSDRadixSort","random",1500,0.8952,3364
"MSDRadixSortWithSwitch","random",1500,0.3084,6874
"QuickSort","random",1600,0.3414,19349
"MergeSort","random",1600,2.0723,15062
"StringQuickSort","random",1600,0.1851,17167
"StringMergeSort","random",1600,2.2662,15062
"MSDRadixSort","random",1600,0.9597,3614
"MSDRadixSortWithSwitch","random",1600,0.3684,7481
"QuickSort","random",1700,0.411,18501
"MergeSort","random",1700,2.1341,16157
"StringQuickSort","random",1700,0.2073,19424
"StringMergeSort","random",1700,2.5074,16157
"MSDRadixSort","random",1700,1.0384,3872
"MSDRadixSortWithSwitch","random",1700,0.3762,8083
"QuickSort","random",1800,0.47,26453
"MergeSort","random",1800,2.313,17251
"StringQuickSort","random",1800,0.2297,20860
"StringMergeSort","random",1800,2.629,17251
"MSDRadixSort","random",1800,1.1116,4120
"MSDRadixSortWithSwitch","random",1800,0.3933,8700
"QuickSort","random",1900,0.3916,22405
"MergeSort","random",1900,2.3854,18336
"StringQuickSort","random",1900,0.236,21122
"StringMergeSort","random",1900,2.8491,18336
"MSDRadixSort","random",1900,1.1391,4360
"MSDRadixSortWithSwitch","random",1900,0.3939,9381
"QuickSort","random",2000,0.3965,23660
"MergeSort","random",2000,2.5055,19453
"StringQuickSort","random",2000,0.2484,23335
"StringMergeSort","random",2000,2.8835,19453
"MSDRadixSort","random",2000,1.199,4612
"MSDRadixSortWithSwitch","random",2000,0.4379,9972
"QuickSort","random",2100,0.4493,25974
"MergeSort","random",2100,2.7067,20539
"StringQuickSort","random",2100,0.3011,28756
"StringMergeSort","random",2100,3.0773,20539
"MSDRadixSort","random",2100,1.2837,4864
"MSDRadixSortWithSwitch","random",2100,0.4279,10601
"QuickSort","random",2200,0.4686,28201
"MergeSort","random",2200,2.7415,21678
"StringQuickSort","random",2200,0.276,24611
"StringMergeSort","random",2200,3.2602,21678
