Algorithm,Data Type,Size,Time (ms),Comparisons
"QuickSort","random",2200,0.5566,27302
"MergeSort","random",2200,2.7077,21675
"StringQuickSort","random",2200,0.2678,23908
"StringMergeSort","random",2200,3.2328,21675
"MSDRadixSort","random",2200,1.3065,5108
"MSDRadixSortWithSwitch","random",2200,0.4782,11218
"QuickSort","random",2300,0.4863,28380
"MergeSort","random",2300,2.8341,22792
"StringQuickSort","random",2300,0.3022,27660
"StringMergeSort","random",2300,3.9198,22792
"MSDRadixSort","random",2300,1.3953,5357
"MSDRadixSortWithSwitch","random",2300,0.5045,12020
"QuickSort","random",2400,0.5003,29818
"MergeSort","random",2400,3.055,23941
"StringQuickSort","random",2400,0.3118,28254
"StringMergeSort","random",2400,3.6134,23941
"MSDRadixSort","random",2400,1.4966,5615
"MSDRadixSortWithSwitch","random",2400,0.509,12558
"QuickSort","random",2500,0.5222,30481
"MergeSort","random",2500,3.1861,25141
"StringQuickSort","random",2500,0.3223,29770
"StringMergeSort","random",2500,3.6694,25141
"MSDRadixSort","random",2500,1.564,5869
"MSDRadixSortWithSwitch","random",2500,0.534,13277
"QuickSort","random",2600,0.5707,33015
"MergeSort","random",2600,3.2611,26263
"StringQuickSort","random",2600,0.3327,30224
"StringMergeSort","random",2600,3.8314,26263
"MSDRadixSort","random",2600,1.6243,6148
"MSDRadixSortWithSwitch","random",2600,0.5398,13953
"QuickSort","random",2700,0.7184,34587
"MergeSort","random",2700,3.5408,27420
"StringQuickSort","random",2700,0.3523,31557
"StringMergeSort","random",2700,3.9993,27420
"MSDRadixSort","random",2700,1.7044,6411
"MSDRadixSortWithSwitch","random",2700,0.6037,14634
"QuickSort","random",2800,0.6231,39065
"MergeSort","random",2800,3.552,28563
"StringQuickSort","random",2800,0.3767,32505
"StringMergeSort","random",2800,4.1701,28563
"MSDRadixSort","random",2800,1.8031,6693
"MSDRadixSortWithSwitch","random",2800,0.6398,15451
"QuickSort","random",2900,0.6084,37341
"MergeSort","random",2900,3.7464,29685
"StringQuickSort","random",2900,0.3828,34905
"StringMergeSort","random",2900,4.433,29685
"MSDRadixSort","random",2900,1.905,6965
"MSDRadixSortWithSwitch","random",2900,0.6173,16198
"QuickSort","random",3000,0.6469,37975
"MergeSort","random",3000,3.9007,30917
"StringQuickSort","random",3000,0.4006,35955
"StringMergeSort","random",3000,4.5648,30917
"MSDRadixSort","random",3000,1.9596,7228
"MSDRadixSortWithSwitch","random",3000,0.6656,16838
"QuickSort","reverse_sorted",100,0.0588,4950
"MergeSort","reverse_sorted",100,0.0845,316
"StringQuickSort","reverse_sorted",100,0.0112,1276
"StringMergeSort","reverse_sorted",100,0.1013,316
"MSDRadixSort","reverse_sorted",100,0.0616,239
"MSDRadixSortWithSwitch","reverse_sorted",100,0.0245,1442
"QuickSort","reverse_sorted",200,0.2341,19900
"MergeSort","reverse_sorted",200,0.181,732
"StringQuickSort","reverse_sorted",200,0.0228,2650
"StringMergeSort","reverse_sorted",200,0.2102,732
"MSDRadixSort","reverse_sorted",200,0.1347,482
"MSDRadixSortWithSwitch","reverse_sorted",200,0.05,3336
"QuickSort","reverse_sorted",300,0.5338,44850
"MergeSort","reverse_sorted",300,0.3017,1180
"StringQuickSort","reverse_sorted",300,0.0407,4908
"StringMergeSort","reverse_sorted",300,0.3188,1180
"MSDRadixSort","reverse_sorted",300,0.2077,741
"MSDRadixSortWithSwitch","reverse_sorted",300,0.0744,5013
"QuickSort","reverse_sorted",400,0.8607,79800
"MergeSort","reverse_sorted",400,0.3944,1664
"StringQuickSort","reverse_sorted",400,0.0533,6477
"StringMergeSort","reverse_sorted",400,0.4302,1664
"MSDRadixSort","reverse_sorted",400,0.2587,984
"MSDRadixSortWithSwitch","reverse_sorted",400,0.1034,6630
"QuickSort","reverse_sorted",500,1.3168,124750
"MergeSort","reverse_sorted",500,0.4747,2216
"StringQuickSort","reverse_sorted",500,0.0707,8620
"StringMergeSort","reverse_sorted",500,0.5443,2216
"MSDRadixSort","reverse_sorted",500,0.3037,1217
"MSDRadixSortWithSwitch","reverse_sorted",500,0.1531,8341
"QuickSort","reverse_sorted",600,1.8825,179700
"MergeSort","reverse_sorted",600,0.6097,2660
"StringQuickSort","reverse_sorted",600,0.089,10958
"StringMergeSort","reverse_sorted",600,0.6825,2660
"MSDRadixSort","reverse_sorted",600,0.3633,1460
"MSDRadixSortWithSwitch","reverse_sorted",600,0.1849,9842
"QuickSort","reverse_sorted",700,2.6752,244650
"MergeSort","reverse_sorted",700,0.7223,3172
"StringQuickSort","reverse_sorted",700,0.1108,13219
"StringMergeSort","reverse_sorted",700,0.8357,3172
"MSDRadixSort","reverse_sorted",700,0.4278,1703
"MSDRadixSortWithSwitch","reverse_sorted",700,0.2095,11359
"QuickSort","reverse_sorted",800,3.3651,319600
"MergeSort","reverse_sorted",800,0.8153,3728
"StringQuickSort","reverse_sorted",800,0.1352,16826
"StringMergeSort","reverse_sorted",800,0.977,3728
"MSDRadixSort","reverse_sorted",800,0.4924,1945
"MSDRadixSortWithSwitch","reverse_sorted",800,0.2286,13155
"QuickSort","reverse_sorted",900,4.2672,404550
"MergeSort","reverse_sorted",900,0.9658,4304
"StringQuickSort","reverse_sorted",900,0.1581,19748
"StringMergeSort","reverse_sorted",900,1.1792,4304
"MSDRadixSort","reverse_sorted",900,0.6431,2185
"MSDRadixSortWithSwitch","reverse_sorted",900,0.2545,15077
"QuickSort","reverse_sorted",1000,5.3412,499500
"MergeSort","reverse_sorted",1000,1.1011,4932
"StringQuickSort","reverse_sorted",1000,0.189,23973
"StringMergeSort","reverse_sorted",1000,1.2707,4932
"MSDRadixSort","reverse_sorted",1000,0.6654,2424
"MSDRadixSortWithSwitch","reverse_sorted",1000,0.244,16660
"QuickSort","reverse_sorted",1100,6.5154,604450
"MergeSort","reverse_sorted",1100,1.2138,5420
"StringQuickSort","reverse_sorted",1100,0.2227,27553
"StringMergeSort","reverse_sorted",1100,1.3896,5420
"MSDRadixSort","reverse_sorted",1100,0.7819,2672
"MSDRadixSortWithSwitch","reverse_sorted",1100,0.2776,18464
"QuickSort","reverse_sorted",1200,7.783,719400
"MergeSort","reverse_sorted",1200,1.3523,5920
"StringQuickSort","reverse_sorted",1200,0.2481,30527
"StringMergeSort","reverse_sorted",1200,1.4899,5920
"MSDRadixSort","reverse_sorted",1200,0.7501,2918
"MSDRadixSortWithSwitch","reverse_sorted",1200,0.3405,20082
"QuickSort","reverse_sorted",1300,8.6886,844350
"MergeSort","reverse_sorted",1300,1.5668,6480
"StringQuickSort","reverse_sorted",1300,0.2825,35568
"StringMergeSort","reverse_sorted",1300,1.7455,6480
"MSDRadixSort","reverse_sorted",1300,0.9254,3163
"MSDRadixSortWithSwitch","reverse_sorted",1300,0.3153,21727
"QuickSort","reverse_sorted",1400,10.4156,979300
"MergeSort","reverse_sorted",1400,1.6306,7044
"StringQuickSort","reverse_sorted",1400,0.3164,39995
"StringMergeSort","reverse_sorted",1400,1.7901,7044
"MSDRadixSort","reverse_sorted",1400,0.9718,3403
"MSDRadixSortWithSwitch","reverse_sorted",1400,0.353,23366
"QuickSort","reverse_sorted",1500,11.94,1124250
"MergeSort","reverse_sorted",1500,1.7504,7664
"StringQuickSort","reverse_sorted",1500,0.3426,43867
"StringMergeSort","reverse_sorted",1500,1.8795,7664
"MSDRadixSort","reverse_sorted",1500,0.9281,3647
"MSDRadixSortWithSwitch","reverse_sorted",1500,0.4177,25264
"QuickSort","reverse_sorted",1600,13.3079,1279200
"MergeSort","reverse_sorted",1600,1.8293,8256
"StringQuickSort","reverse_sorted",1600,0.3773,48239
"StringMergeSort","reverse_sorted",1600,2.141,8256
"MSDRadixSort","reverse_sorted",1600,1.0009,3895
"MSDRadixSortWithSwitch","reverse_sorted",1600,0.8989,26839
"QuickSort","reverse_sorted",1700,15.2066,1444150
"MergeSort","reverse_sorted",1700,2.0239,8836
"StringQuickSort","reverse_sorted",1700,0.426,54472
"StringMergeSort","reverse_sorted",1700,2.3093,8836
"MSDRadixSort","reverse_sorted",1700,1.1458,4136
"MSDRadixSortWithSwitch","reverse_sorted",1700,0.4719,28560
"QuickSort","reverse_sorted",1800,16.8626,1619100
"MergeSort","reverse_sorted",1800,2.0998,9508
"StringQuickSort","reverse_sorted",1800,0.4904,59303
"StringMergeSort","reverse_sorted",1800,2.3852,9508
"MSDRadixSort","reverse_sorted",1800,1.2406,4377
"MSDRadixSortWithSwitch","reverse_sorted",1800,0.4561,30203
"QuickSort","reverse_sorted",1900,18.8581,1804050
"MergeSort","reverse_sorted",1900,2.2274,10144
"StringQuickSort","reverse_sorted",1900,0.5083,64595
"StringMergeSort","reverse_sorted",1900,2.4729,10144
"MSDRadixSort","reverse_sorted",1900,1.3288,4621
"MSDRadixSortWithSwitch","reverse_sorted",1900,0.4728,31752
"QuickSort","reverse_sorted",2000,20.6383,1999000
"MergeSort","reverse_sorted",2000,2.3323,10864
"StringQuickSort","reverse_sorted",2000,0.554,70448
"StringMergeSort","reverse_sorted",2000,2.7078,10864
"MSDRadixSort","reverse_sorted",2000,1.3597,4861
"MSDRadixSortWithSwitch","reverse_sorted",2000,0.4772,33516
"QuickSort","reverse_sorted",2100,23.0486,2203950
"MergeSort","reverse_sorted",2100,2.4523,11456
"StringQuickSort","reverse_sorted",2100,0.598,76331
"StringMergeSort","reverse_sorted",2100,2.9829,11456
"MSDRadixSort","reverse_sorted",2100,1.397,5115
"MSDRadixSortWithSwitch","reverse_sorted",2100,0.5014,35255
"QuickSort","reverse_sorted",2200,25.2156,2418900
"MergeSort","reverse_sorted",2200,2.5497,11940
"StringQuickSort","reverse_sorted",2200,0.6594,84507
"StringMergeSort","reverse_sorted",2200,2.8523,11940
"MSDRadixSort","reverse_sorted",2200,1.4935,5348
"MSDRadixSortWithSwitch","reverse_sorted",2200,0.529,37144
"QuickSort","reverse_sorted",2300,27.4513,2643850
"MergeSort","reverse_sorted",2300,2.7133,12512
"StringQuickSort","reverse_sorted",2300,0.7042,90675
"StringMergeSort","reverse_sorted",2300,3.0048,12512
"MSDRadixSort","reverse_sorted",2300,1.3707,5586
"MSDRadixSortWithSwitch","reverse_sorted",2300,0.5446,38606
"QuickSort","reverse_sorted",2400,29.9632,2878800
"MergeSort","reverse_sorted",2400,2.8784,13040
"StringQuickSort","reverse_sorted",2400,0.7755,98233
"StringMergeSort","reverse_sorted",2400,3.2884,13040
"MSDRadixSort","reverse_sorted",2400,1.6707,5827
"MSDRadixSortWithSwitch","reverse_sorted",2400,0.5726,40217
"QuickSort","reverse_sorted",2500,33.1055,3123750
"MergeSort","reverse_sorted",2500,3.0933,13652
"StringQuickSort","reverse_sorted",2500,0.806,104513
"StringMergeSort","reverse_sorted",2500,3.3659,13652
"MSDRadixSort","reverse_sorted",2500,1.5976,6062
"MSDRadixSortWithSwitch","reverse_sorted",2500,0.7933,41722
"QuickSort","reverse_sorted",2600,36.2001,3378700
"MergeSort","reverse_sorted",2600,3.1134,14260
"StringQuickSort","reverse_sorted",2600,0.8506,111045
"StringMergeSort","reverse_sorted",2600,3.4145,14260
"MSDRadixSort","reverse_sorted",2600,1.5681,6314
"MSDRadixSortWithSwitch","reverse_sorted",2600,0.6033,43453
"QuickSort","reverse_sorted",2700,38.886,3643650
"MergeSort","reverse_sorted",2700,3.1601,14840
"StringQuickSort","reverse_sorted",2700,0.9596,122160
"StringMergeSort","reverse_sorted",2700,3.6649,14840
"MSDRadixSort","reverse_sorted",2700,1.9149,6559
"MSDRadixSortWithSwitch","reverse_sorted",2700,0.671,44949
"QuickSort","reverse_sorted",2800,40.6319,3918600
"MergeSort","reverse_sorted",2800,3.333,15488
"StringQuickSort","reverse_sorted",2800,1.0066,127049
"StringMergeSort","reverse_sorted",2800,3.7165,15488
"MSDRadixSort","reverse_sorted",2800,1.7121,6798
"MSDRadixSortWithSwitch","reverse_sorted",2800,0.6544,46761
"QuickSort","reverse_sorted",2900,44.3308,4203550
"MergeSort","reverse_sorted",2900,3.407,16120
"StringQuickSort","reverse_sorted",2900,1.0604,135450
"StringMergeSort","reverse_sorted",2900,3.8949,16120
"MSDRadixSort","reverse_sorted",2900,2.1105,7037
"MSDRadixSortWithSwitch","reverse_sorted",2900,0.8508,48398
"QuickSort","reverse_sorted",3000,46.7377,4498500
"MergeSort","reverse_sorted",3000,3.6332,16828
"StringQuickSort","reverse_sorted",3000,1.1115,144850
"StringMergeSort","reverse_sorted",3000,4.0274,16828
"MSDRadixSort","reverse_sorted",3000,1.8521,7267
"MSDRadixSortWithSwitch","reverse_sorted",3000,0.7075,50264
"QuickSort","almost_sorted",100,0.0532,4950
"MergeSort","almost_sorted",100,0.0737,356
"StringQuickSort","almost_sorted",100,0.0074,759
"StringMergeSort","almost_sorted",100,0.0844,356
"MSDRadixSort","almost_sorted",100,0.0699,249
"MSDRadixSortWithSwitch","almost_sorted",100,0.017,746
"QuickSort","almost_sorted",200,0.2097,19506
"MergeSort","almost_sorted",200,0.2009,865
"StringQuickSort","almost_sorted",200,0.0165,1722
"StringMergeSort","almost_sorted",200,0.2391,865
"MSDRadixSort","almost_sorted",200,0.1133,486
"MSDRadixSortWithSwitch","almost_sorted",200,0.0356,1514
"QuickSort","almost_sorted",300,0.4311,44256
"MergeSort","almost_sorted",300,0.2399,1446
"StringQuickSort","almost_sorted",300,0.0272,2916
"StringMergeSort","almost_sorted",300,0.3273,1446
"MSDRadixSort","almost_sorted",300,0.1938,736
"MSDRadixSortWithSwitch","almost_sorted",300,0.0548,2287
"QuickSort","almost_sorted",400,0.7667,79006
"MergeSort","almost_sorted",400,0.3942,2075
"StringQuickSort","almost_sorted",400,0.0395,4272
"StringMergeSort","almost_sorted",400,0.4573,2075
"MSDRadixSort","almost_sorted",400,0.2546,979
"MSDRadixSortWithSwitch","almost_sorted",400,0.0695,3038
"QuickSort","almost_sorted",500,1.2237,123756
"MergeSort","almost_sorted",500,0.4845,2610
"StringQuickSort","almost_sorted",500,0.053,5907
"StringMergeSort","almost_sorted",500,0.5435,2610
"MSDRadixSort","almost_sorted",500,0.2984,1218
"MSDRadixSortWithSwitch","almost_sorted",500,0.0953,3761
"QuickSort","almost_sorted",600,1.7012,177318
"MergeSort","almost_sorted",600,0.5423,3486
"StringQuickSort","almost_sorted",600,0.0688,7992
"StringMergeSort","almost_sorted",600,0.6556,3486
"MSDRadixSort","almost_sorted",600,0.3693,1452
"MSDRadixSortWithSwitch","almost_sorted",600,0.1082,4502
"QuickSort","almost_sorted",700,2.3316,241176
"MergeSort","almost_sorted",700,0.6611,4560
"StringQuickSort","almost_sorted",700,0.0898,10329
"StringMergeSort","almost_sorted",700,0.7883,4560
"MSDRadixSort","almost_sorted",700,0.4025,1687
"MSDRadixSortWithSwitch","almost_sorted",700,0.1326,5309
"QuickSort","almost_sorted",800,2.9866,315626
"MergeSort","almost_sorted",800,0.8224,5106
"StringQuickSort","almost_sorted",800,0.112,13016
"StringMergeSort","almost_sorted",800,0.9033,5106
"MSDRadixSort","almost_sorted",800,0.4789,1936
"MSDRadixSortWithSwitch","almost_sorted",800,0.1452,6035
"QuickSort","almost_sorted",900,2.8029,289415
"MergeSort","almost_sorted",900,0.9225,5783
"StringQuickSort","almost_sorted",900,0.1361,15707
"StringMergeSort","almost_sorted",900,1.1055,5783
"MSDRadixSort","almost_sorted",900,0.5257,2176
"MSDRadixSortWithSwitch","almost_sorted",900,0.1664,6887
"QuickSort","almost_sorted",1000,2.0529,197402
"MergeSort","almost_sorted",1000,0.9797,6725
"StringQuickSort","almost_sorted",1000,0.1589,19040
"StringMergeSort","almost_sorted",1000,1.1861,6725
"MSDRadixSort","almost_sorted",1000,0.5752,2413
"MSDRadixSortWithSwitch","almost_sorted",1000,0.1844,7575
"QuickSort","almost_sorted",1100,3.0544,301755
"MergeSort","almost_sorted",1100,1.1054,7449
"StringQuickSort","almost_sorted",1100,0.1852,22474
"StringMergeSort","almost_sorted",1100,1.3188,7449
"MSDRadixSort","almost_sorted",1100,0.6424,2658
"MSDRadixSortWithSwitch","almost_sorted",1100,0.2083,8296
"QuickSort","almost_sorted",1200,4.0994,414912
"MergeSort","almost_sorted",1200,1.1884,8519
"StringQuickSort","almost_sorted",1200,0.2167,26418
"StringMergeSort","almost_sorted",1200,1.4175,8519
"MSDRadixSort","almost_sorted",1200,0.7526,2904
"MSDRadixSortWithSwitch","almost_sorted",1200,0.2255,9149
"QuickSort","almost_sorted",1300,2.3521,224372
"MergeSort","almost_sorted",1300,1.3034,9467
"StringQuickSort","almost_sorted",1300,0.247,30614
"StringMergeSort","almost_sorted",1300,1.5561,9467
"MSDRadixSort","almost_sorted",1300,0.7753,3146
"MSDRadixSortWithSwitch","almost_sorted",1300,0.2422,9911
"QuickSort","almost_sorted",1400,3.6328,357418
"MergeSort","almost_sorted",1400,1.3788,10481
"StringQuickSort","almost_sorted",1400,0.2832,34855
"StringMergeSort","almost_sorted",1400,1.7212,10481
"MSDRadixSort","almost_sorted",1400,0.8287,3383
"MSDRadixSortWithSwitch","almost_sorted",1400,0.2572,10625
"QuickSort","almost_sorted",1500,4.9766,501772
"MergeSort","almost_sorted",1500,1.5454,11116
"StringQuickSort","almost_sorted",1500,0.3197,39709
"StringMergeSort","almost_sorted",1500,1.9004,11116
"MSDRadixSort","almost_sorted",1500,0.8703,3623
"MSDRadixSortWithSwitch","almost_sorted",1500,0.2844,11418
"QuickSort","almost_sorted",1600,6.5462,656120
"MergeSort","almost_sorted",1600,1.6262,11903
"StringQuickSort","almost_sorted",1600,0.3551,44230
"StringMergeSort","almost_sorted",1600,1.9479,11903
"MSDRadixSort","almost_sorted",1600,0.953,3865
"MSDRadixSortWithSwitch","almost_sorted",1600,0.3021,12173
