Algorithm,Data Type,Size,Time (ms),Comparisons
"MSDRadixSortWithSwitch","random",2800,0.6062,15410
"QuickSort","random",2900,0.6579,40758
"MergeSort","random",2900,3.646,29748
"StringQuickSort","random",2900,0.352,30965
"StringMergeSort","random",2900,4.4274,29748
"MSDRadixSort","random",2900,1.8943,6984
"MSDRadixSortWithSwitch","random",2900,0.6371,16101
"QuickSort","random",3000,0.6575,41373
"MergeSort","random",3000,3.8479,30888
"StringQuickSort","random",3000,0.3755,33312
"StringMergeSort","random",3000,4.5305,30888
"MSDRadixSort","random",3000,2.0273,7259
"MSDRadixSortWithSwitch","random",3000,0.6496,16906
"QuickSort","reverse_sorted",100,0.0567,4950
"MergeSort","reverse_sorted",100,0.0848,316
"StringQuickSort","reverse_sorted",100,0.0096,1051
"StringMergeSort","reverse_sorted",100,0.1088,316
"MSDRadixSort","reverse_sorted",100,0.0664,250
"MSDRadixSortWithSwitch","reverse_sorted",100,0.0245,1503
"QuickSort","reverse_sorted",200,0.2445,19900
"MergeSort","reverse_sorted",200,0.1703,732
"StringQuickSort","reverse_sorted",200,0.0211,2473
"StringMergeSort","reverse_sorted",200,0.2014,732
"MSDRadixSort","reverse_sorted",200,0.1381,501
"MSDRadixSortWithSwitch","reverse_sorted",200,0.054,3244
"QuickSort","reverse_sorted",300,0.473,44850
"MergeSort","reverse_sorted",300,0.3287,1180
"StringQuickSort","reverse_sorted",300,0.042,4560
"StringMergeSort","reverse_sorted",300,0.3274,1180
"MSDRadixSort","reverse_sorted",300,0.1972,751
"MSDRadixSortWithSwitch","reverse_sorted",300,0.0749,5082
"QuickSort","reverse_sorted",400,0.8668,79800
"MergeSort","reverse_sorted",400,0.3826,1664
"StringQuickSort","reverse_sorted",400,0.0495,6077
"StringMergeSort","reverse_sorted",400,0.4378,1664
"MSDRadixSort","reverse_sorted",400,0.2668,1008
"MSDRadixSortWithSwitch","reverse_sorted",400,0.1024,6870
"QuickSort","reverse_sorted",500,1.316,124750
"MergeSort","reverse_sorted",500,0.5068,2216
"StringQuickSort","reverse_sorted",500,0.0696,8689
"StringMergeSort","reverse_sorted",500,0.5645,2216
"MSDRadixSort","reverse_sorted",500,0.3279,1248
"MSDRadixSortWithSwitch","reverse_sorted",500,0.1298,8703
"QuickSort","reverse_sorted",600,1.9511,179700
"MergeSort","reverse_sorted",600,0.5823,2660
"StringQuickSort","reverse_sorted",600,0.0866,10765
"StringMergeSort","reverse_sorted",600,0.6834,2660
"MSDRadixSort","reverse_sorted",600,0.4021,1499
"MSDRadixSortWithSwitch","reverse_sorted",600,0.1565,10322
"QuickSort","reverse_sorted",700,2.5497,244650
"MergeSort","reverse_sorted",700,0.7313,3172
"StringQuickSort","reverse_sorted",700,0.109,13483
"StringMergeSort","reverse_sorted",700,0.815,3172
"MSDRadixSort","reverse_sorted",700,0.4534,1744
"MSDRadixSortWithSwitch","reverse_sorted",700,0.2018,12081
"QuickSort","reverse_sorted",800,3.3587,319600
"MergeSort","reverse_sorted",800,0.857,3728
"StringQuickSort","reverse_sorted",800,0.1347,16719
"StringMergeSort","reverse_sorted",800,0.9564,3728
"MSDRadixSort","reverse_sorted",800,0.5486,2000
"MSDRadixSortWithSwitch","reverse_sorted",800,0.2162,13781
"QuickSort","reverse_sorted",900,4.1773,404550
"MergeSort","reverse_sorted",900,0.946,4304
"StringQuickSort","reverse_sorted",900,0.1487,18973
"StringMergeSort","reverse_sorted",900,1.0737,4304
"MSDRadixSort","reverse_sorted",900,0.6794,2245
"MSDRadixSortWithSwitch","reverse_sorted",900,0.2236,15386
"QuickSort","reverse_sorted",1000,5.3764,499500
"MergeSort","reverse_sorted",1000,1.1404,4932
"StringQuickSort","reverse_sorted",1000,0.1719,21691
"StringMergeSort","reverse_sorted",1000,1.2672,4932
"MSDRadixSort","reverse_sorted",1000,0.7404,2479
"MSDRadixSortWithSwitch","reverse_sorted",1000,0.2577,16860
"QuickSort","reverse_sorted",1100,6.0732,604450
"MergeSort","reverse_sorted",1100,1.4738,5420
"StringQuickSort","reverse_sorted",1100,0.2123,26723
"StringMergeSort","reverse_sorted",1100,1.4107,5420
"MSDRadixSort","reverse_sorted",1100,0.7252,2717
"MSDRadixSortWithSwitch","reverse_sorted",1100,0.3029,18609
"QuickSort","reverse_sorted",1200,7.7051,719400
"MergeSort","reverse_sorted",1200,1.3781,5920
"StringQuickSort","reverse_sorted",1200,0.2328,29462
"StringMergeSort","reverse_sorted",1200,1.7083,5920
"MSDRadixSort","reverse_sorted",1200,0.8603,2975
"MSDRadixSortWithSwitch","reverse_sorted",1200,0.299,20156
"QuickSort","reverse_sorted",1300,8.732,844350
"MergeSort","reverse_sorted",1300,1.5022,6480
"StringQuickSort","reverse_sorted",1300,0.2663,33540
"StringMergeSort","reverse_sorted",1300,1.7013,6480
"MSDRadixSort","reverse_sorted",1300,0.9698,3208
"MSDRadixSortWithSwitch","reverse_sorted",1300,0.3211,21821
"QuickSort","reverse_sorted",1400,10.2249,979300
"MergeSort","reverse_sorted",1400,1.5992,7044
"StringQuickSort","reverse_sorted",1400,0.2966,37799
"StringMergeSort","reverse_sorted",1400,1.8042,7044
"MSDRadixSort","reverse_sorted",1400,1.0546,3447
"MSDRadixSortWithSwitch","reverse_sorted",1400,0.3523,23428
"QuickSort","reverse_sorted",1500,11.7159,1124250
"MergeSort","reverse_sorted",1500,2.1725,7664
"StringQuickSort","reverse_sorted",1500,0.3256,42314
"StringMergeSort","reverse_sorted",1500,2.016,7664
"MSDRadixSort","reverse_sorted",1500,1.0743,3681
"MSDRadixSortWithSwitch","reverse_sorted",1500,0.3733,24950
"QuickSort","reverse_sorted",1600,13.4298,1279200
"MergeSort","reverse_sorted",1600,1.8629,8256
"StringQuickSort","reverse_sorted",1600,0.3785,48143
"StringMergeSort","reverse_sorted",1600,2.0642,8256
"MSDRadixSort","reverse_sorted",1600,1.0981,3915
"MSDRadixSortWithSwitch","reverse_sorted",1600,0.443,26702
"QuickSort","reverse_sorted",1700,15.2561,1444150
"MergeSort","reverse_sorted",1700,1.9987,8836
"StringQuickSort","reverse_sorted",1700,0.4104,52504
"StringMergeSort","reverse_sorted",1700,2.3763,8836
"MSDRadixSort","reverse_sorted",1700,1.2012,4151
"MSDRadixSortWithSwitch","reverse_sorted",1700,0.4195,28148
"QuickSort","reverse_sorted",1800,16.9626,1619100
"MergeSort","reverse_sorted",1800,2.0863,9508
"StringQuickSort","reverse_sorted",1800,0.4549,58517
"StringMergeSort","reverse_sorted",1800,2.4227,9508
"MSDRadixSort","reverse_sorted",1800,1.3111,4388
"MSDRadixSortWithSwitch","reverse_sorted",1800,0.5235,30089
"QuickSort","reverse_sorted",1900,18.9108,1804050
"MergeSort","reverse_sorted",1900,2.2259,10144
"StringQuickSort","reverse_sorted",1900,0.4981,63554
"StringMergeSort","reverse_sorted",1900,2.5757,10144
"MSDRadixSort","reverse_sorted",1900,1.1784,4632
"MSDRadixSortWithSwitch","reverse_sorted",1900,0.4547,31667
"QuickSort","reverse_sorted",2000,20.9336,1999000
"MergeSort","reverse_sorted",2000,2.3803,10864
"StringQuickSort","reverse_sorted",2000,0.542,69829
"StringMergeSort","reverse_sorted",2000,2.7622,10864
"MSDRadixSort","reverse_sorted",2000,1.4038,4876
"MSDRadixSortWithSwitch","reverse_sorted",2000,0.4828,33320
"QuickSort","reverse_sorted",2100,23.3171,2203950
"MergeSort","reverse_sorted",2100,2.4899,11456
"StringQuickSort","reverse_sorted",2100,0.5828,75155
"StringMergeSort","reverse_sorted",2100,2.86,11456
"MSDRadixSort","reverse_sorted",2100,1.3305,5116
"MSDRadixSortWithSwitch","reverse_sorted",2100,0.4891,34757
"QuickSort","reverse_sorted",2200,25.4357,2418900
"MergeSort","reverse_sorted",2200,2.6157,11940
"StringQuickSort","reverse_sorted",2200,0.6339,81430
"StringMergeSort","reverse_sorted",2200,2.8682,11940
"MSDRadixSort","reverse_sorted",2200,1.6059,5349
"MSDRadixSortWithSwitch","reverse_sorted",2200,0.5326,36287
"QuickSort","reverse_sorted",2300,27.9249,2643850
"MergeSort","reverse_sorted",2300,2.7246,12512
"StringQuickSort","reverse_sorted",2300,0.6918,88754
"StringMergeSort","reverse_sorted",2300,2.9826,12512
"MSDRadixSort","reverse_sorted",2300,1.5761,5600
"MSDRadixSortWithSwitch","reverse_sorted",2300,0.5422,38065
"QuickSort","reverse_sorted",2400,30.2105,2878800
"MergeSort","reverse_sorted",2400,2.8507,13040
"StringQuickSort","reverse_sorted",2400,0.7362,94190
"StringMergeSort","reverse_sorted",2400,3.2469,13040
"MSDRadixSort","reverse_sorted",2400,1.4763,5840
"MSDRadixSortWithSwitch","reverse_sorted",2400,0.5592,39475
"QuickSort","reverse_sorted",2500,32.3224,3123750
"MergeSort","reverse_sorted",2500,2.8049,13652
"StringQuickSort","reverse_sorted",2500,0.7983,103220
"StringMergeSort","reverse_sorted",2500,3.4569,13652
"MSDRadixSort","reverse_sorted",2500,1.9011,6074
"MSDRadixSortWithSwitch","reverse_sorted",2500,0.5826,41202
"QuickSort","reverse_sorted",2600,35.8672,3378700
"MergeSort","reverse_sorted",2600,3.1207,14260
"StringQuickSort","reverse_sorted",2600,0.8588,109725
"StringMergeSort","reverse_sorted",2600,3.4669,14260
"MSDRadixSort","reverse_sorted",2600,1.6158,6310
"MSDRadixSortWithSwitch","reverse_sorted",2600,0.6012,42842
"QuickSort","reverse_sorted",2700,37.6286,3643650
"MergeSort","reverse_sorted",2700,3.0285,14840
"StringQuickSort","reverse_sorted",2700,0.9501,117588
"StringMergeSort","reverse_sorted",2700,3.7309,14840
"MSDRadixSort","reverse_sorted",2700,1.6436,6537
"MSDRadixSortWithSwitch","reverse_sorted",2700,0.6192,44558
"QuickSort","reverse_sorted",2800,41.0344,3918600
"MergeSort","reverse_sorted",2800,3.3444,15488
"StringQuickSort","reverse_sorted",2800,0.9898,126888
"StringMergeSort","reverse_sorted",2800,3.6865,15488
"MSDRadixSort","reverse_sorted",2800,1.6649,6779
"MSDRadixSortWithSwitch","reverse_sorted",2800,0.7607,46245
"QuickSort","reverse_sorted",2900,43.6797,4203550
"MergeSort","reverse_sorted",2900,3.9419,16120
"StringQuickSort","reverse_sorted",2900,1.0298,135003
"StringMergeSort","reverse_sorted",2900,4.0726,16120
"MSDRadixSort","reverse_sorted",2900,1.7707,7023
"MSDRadixSortWithSwitch","reverse_sorted",2900,0.664,47846
"QuickSort","reverse_sorted",3000,46.8291,4498500
"MergeSort","reverse_sorted",3000,3.6171,16828
"StringQuickSort","reverse_sorted",3000,1.0805,143064
"StringMergeSort","reverse_sorted",3000,3.989,16828
"MSDRadixSort","reverse_sorted",3000,1.8003,7266
"MSDRadixSortWithSwitch","reverse_sorted",3000,0.6993,49788
"QuickSort","almost_sorted",100,0.0542,4950
"MergeSort","almost_sorted",100,0.0722,356
"StringQuickSort","almost_sorted",100,0.0087,773
"StringMergeSort","almost_sorted",100,0.0874,356
"MSDRadixSort","almost_sorted",100,0.0546,238
"MSDRadixSortWithSwitch","almost_sorted",100,0.0701,755
"QuickSort","almost_sorted",200,0.2111,19506
"MergeSort","almost_sorted",200,0.1568,838
"StringQuickSort","almost_sorted",200,0.0176,1711
"StringMergeSort","almost_sorted",200,0.2038,838
"MSDRadixSort","almost_sorted",200,0.1145,477
"MSDRadixSortWithSwitch","almost_sorted",200,0.0326,1504
"QuickSort","almost_sorted",300,0.4371,44256
"MergeSort","almost_sorted",300,0.2544,1455
"StringQuickSort","almost_sorted",300,0.0368,2911
"StringMergeSort","almost_sorted",300,0.3137,1455
"MSDRadixSort","almost_sorted",300,0.1739,717
"MSDRadixSortWithSwitch","almost_sorted",300,0.0521,2251
"QuickSort","almost_sorted",400,0.7726,76673
"MergeSort","almost_sorted",400,0.3551,2117
"StringQuickSort","almost_sorted",400,0.0395,4327
"StringMergeSort","almost_sorted",400,0.4219,2117
"MSDRadixSort","almost_sorted",400,0.2367,962
"MSDRadixSortWithSwitch","almost_sorted",400,0.0709,2995
"QuickSort","almost_sorted",500,1.1876,121324
"MergeSort","almost_sorted",500,0.4399,2815
"StringQuickSort","almost_sorted",500,0.057,6034
"StringMergeSort","almost_sorted",500,0.5362,2815
"MSDRadixSort","almost_sorted",500,0.3097,1206
"MSDRadixSortWithSwitch","almost_sorted",500,0.0952,3717
"QuickSort","almost_sorted",600,1.6976,175974
"MergeSort","almost_sorted",600,0.5517,3629
"StringQuickSort","almost_sorted",600,0.073,8102
"StringMergeSort","almost_sorted",600,0.6541,3629
"MSDRadixSort","almost_sorted",600,0.3428,1446
"MSDRadixSortWithSwitch","almost_sorted",600,0.1092,4527
"QuickSort","almost_sorted",700,2.4275,239932
"MergeSort","almost_sorted",700,0.6166,4269
"StringQuickSort","almost_sorted",700,0.0903,10389
"StringMergeSort","almost_sorted",700,0.7522,4269
"MSDRadixSort","almost_sorted",700,0.4164,1680
"MSDRadixSortWithSwitch","almost_sorted",700,0.124,5372
"QuickSort","almost_sorted",800,2.911,312900
"MergeSort","almost_sorted",800,0.7394,4952
"StringQuickSort","almost_sorted",800,0.1178,12944
"StringMergeSort","almost_sorted",800,0.8963,4952
"MSDRadixSort","almost_sorted",800,0.4602,1928
"MSDRadixSortWithSwitch","almost_sorted",800,0.1483,6173
"QuickSort","almost_sorted",900,3.889,397248
"MergeSort","almost_sorted",900,0.9972,5811
"StringQuickSort","almost_sorted",900,0.1372,15772
"StringMergeSort","almost_sorted",900,1.1085,5811
"MSDRadixSort","almost_sorted",900,0.5216,2164
"MSDRadixSortWithSwitch","almost_sorted",900,0.1646,6927
"QuickSort","almost_sorted",1000,4.7252,491597
"MergeSort","almost_sorted",1000,0.938,6679
"StringQuickSort","almost_sorted",1000,0.1662,19020
"StringMergeSort","almost_sorted",1000,1.1398,6679
"MSDRadixSort","almost_sorted",1000,0.5612,2402
"MSDRadixSortWithSwitch","almost_sorted",1000,0.1836,7667
"QuickSort","almost_sorted",1100,5.8061,595950
"MergeSort","almost_sorted",1100,1.1082,7408
"StringQuickSort","almost_sorted",1100,0.1929,22599
"StringMergeSort","almost_sorted",1100,1.3398,7408
"MSDRadixSort","almost_sorted",1100,0.653,2641
"MSDRadixSortWithSwitch","almost_sorted",1100,0.2075,8389
"QuickSort","almost_sorted",1200,3.527,356230
"MergeSort","almost_sorted",1200,1.2213,8437
"StringQuickSort","almost_sorted",1200,0.2155,26494
"StringMergeSort","almost_sorted",1200,1.4627,8437
"MSDRadixSort","almost_sorted",1200,0.6877,2883
"MSDRadixSortWithSwitch","almost_sorted",1200,0.2278,9145
"QuickSort","almost_sorted",1300,3.8849,385915
"MergeSort","almost_sorted",1300,1.3389,9098
"StringQuickSort","almost_sorted",1300,0.2544,30709
"StringMergeSort","almost_sorted",1300,1.6158,9098
"MSDRadixSort","almost_sorted",1300,0.7465,3133
"MSDRadixSortWithSwitch","almost_sorted",1300,0.2949,9845
"QuickSort","almost_sorted",1400,5.1083,520365
"MergeSort","almost_sorted",1400,1.6129,9944
"StringQuickSort","almost_sorted",1400,0.2906,35149
"StringMergeSort","almost_sorted",1400,1.7064,9944
"MSDRadixSort","almost_sorted",1400,0.7998,3381
"MSDRadixSortWithSwitch","almost_sorted",1400,0.2599,10719
"QuickSort","almost_sorted",1500,6.3891,664815
"MergeSort","almost_sorted",1500,1.5428,10918
"StringQuickSort","almost_sorted",1500,0.3223,39873
"StringMergeSort","almost_sorted",1500,1.8804,10918
"MSDRadixSort","almost_sorted",1500,0.8479,3620
"MSDRadixSortWithSwitch","almost_sorted",1500,0.2753,11548
"QuickSort","almost_sorted",1600,7.3756,693727
"MergeSort","almost_sorted",1600,1.5821,10942
"StringQuickSort","almost_sorted",1600,0.3569,44517
"StringMergeSort","almost_sorted",1600,1.9221,10942
"MSDRadixSort","almost_sorted",1600,0.9443,3850
"MSDRadixSortWithSwitch","almost_sorted",1600,0.2874,12351
"QuickSort","almost_sorted",1700,9.0928,858177
"MergeSort","almost_sorted",1700,1.7434,11880
"StringQuickSort","almost_sorted",1700,0.3985,49640
"StringMergeSort","almost_sorted",1700,2.0982,11880
"MSDRadixSort","almost_sorted",1700,1.1121,4093
"MSDRadixSortWithSwitch","almost_sorted",1700,0.3211,13063
"QuickSort","almost_sorted",1800,10.8084,1030837
"MergeSort","almost_sorted",1800,1.9331,12769
"StringQuickSort","almost_sorted",1800,0.4345,54679
"StringMergeSort","almost_sorted",1800,2.2389,12769
"MSDRadixSort","almost_sorted",1800,1.1266,4331
"MSDRadixSortWithSwitch","almost_sorted",1800,0.4235,13888
"QuickSort","almost_sorted",1900,12.4979,1215184
"MergeSort","almost_sorted",1900,2.0327,13785
"StringQuickSort","almost_sorted",1900,0.4812,60382
"StringMergeSort","almost_sorted",1900,2.3433,13785
"MSDRadixSort","almost_sorted",1900,1.0582,4577
"MSDRadixSortWithSwitch","almost_sorted",1900,0.349,14654
"QuickSort","almost_sorted",2000,8.0491,800749
"MergeSort","almost_sorted",2000,2.158,14465
"StringQuickSort","almost_sorted",2000,0.5179,65515
"StringMergeSort","almost_sorted",2000,2.5704,14465
"MSDRadixSort","almost_sorted",2000,1.1382,4817
"MSDRadixSortWithSwitch","almost_sorted",2000,0.357,15364
"QuickSort","almost_sorted",2100,6.278,579911
"MergeSort","almost_sorted",2100,2.1546,15409
"StringQuickSort","almost_sorted",2100,0.5628,71193
"StringMergeSort","almost_sorted",2100,2.6452,15409
"MSDRadixSort","almost_sorted",2100,1.2228,5067
"MSDRadixSortWithSwitch","almost_sorted",2100,0.3775,16115
"QuickSort","almost_sorted",2200,8.1759,794560
"MergeSort","almost_sorted",2200,2.2724,16554
"StringQuickSort","almost_sorted",2200,0.6149,77163
"StringMergeSort","almost_sorted",2200,2.7534,16554
"MSDRadixSort","almost_sorted",2200,1.2561,5312
"MSDRadixSortWithSwitch","almost_sorted",2200,0.3949,16856
"QuickSort","almost_sorted",2300,10.0389,971453
"MergeSort","almost_sorted",2300,2.376,17586
"StringQuickSort","almost_sorted",2300,0.6536,82198
"StringMergeSort","almost_sorted",2300,2.9792,17586
"MSDRadixSort","almost_sorted",2300,1.3109,5562
"MSDRadixSortWithSwitch","almost_sorted",2300,0.3969,17649
"QuickSort","almost_sorted",2400,12.0516,1206203
"MergeSort","almost_sorted",2400,2.9255,18464
"StringQuickSort","almost_sorted",2400,0.6926,87524
"StringMergeSort","almost_sorted",2400,3.0853,18464
"MSDRadixSort","almost_sorted",2400,1.375,5798
"MSDRadixSortWithSwitch","almost_sorted",2400,0.4139,18376
"QuickSort","almost_sorted",2500,14.5574,1450953
"MergeSort","almost_sorted",2500,2.5949,19196
"StringQuickSort","almost_sorted",2500,0.7326,93117
"StringMergeSort","almost_sorted",2500,3.1356,19196
"MSDRadixSort","almost_sorted",2500,1.4858,6044
"MSDRadixSortWithSwitch","almost_sorted",2500,0.4522,19158
"QuickSort","almost_sorted",2600,17.3736,1705703
"MergeSort","almost_sorted",2600,2.7322,20042
"StringQuickSort","almost_sorted",2600,0.7929,98819
"StringMergeSort","almost_sorted",2600,3.2578,20042
"MSDRadixSort","almost_sorted",2600,1.5183,6289
"MSDRadixSortWithSwitch","almost_sorted",2600,0.453,19918
"QuickSort","almost_sorted",2700,16.9966,1702271
"MergeSort","almost_sorted",2700,2.8379,20844
"StringQuickSort","almost_sorted",2700,0.8228,103612
"StringMergeSort","almost_sorted",2700,3.5605,20844
"MSDRadixSort","almost_sorted",2700,1.4895,6538
"MSDRadixSortWithSwitch","almost_sorted",2700,0.566,20677
"QuickSort","almost_sorted",2800,19.6044,1977121
"MergeSort","almost_sorted",2800,3.0238,21621
"StringQuickSort","almost_sorted",2800,0.8633,109578
"StringMergeSort","almost_sorted",2800,3.545,21621
"MSDRadixSort","almost_sorted",2800,1.5656,6783
"MSDRadixSortWithSwitch","almost_sorted",2800,0.4607,21505
"QuickSort","almost_sorted",2900,22.107,2261971
"MergeSort","almost_sorted",2900,3.0175,22589
"StringQuickSort","almost_sorted",2900,0.9131,115053
"StringMergeSort","almost_sorted",2900,3.6949,22589
"MSDRadixSort","almost_sorted",2900,1.6078,7019
"MSDRadixSortWithSwitch","almost_sorted",2900,0.4771,22253
"QuickSort","almost_sorted",3000,10.5832,1041314
"MergeSort","almost_sorted",3000,3.1355,23442
"StringQuickSort","almost_sorted",3000,0.9836,124992
"StringMergeSort","almost_sorted",3000,3.9095,23442
