Algorithm,Data Type,Size,Time (ms),Comparisons
"QuickSort","random",100,0.0432,726
"MergeSort","random",100,0.1074,544
"StringQuickSort","random",100,0.0076,545
"StringMergeSort","random",100,0.1178,544
"MSDRadixSort","random",100,0.0854,175
"MSDRadixSortWithSwitch","random",100,0.0181,156
"QuickSort","random",200,0.0481,1447
"MergeSort","random",200,0.218,1269
"StringQuickSort","random",200,0.0168,1286
"StringMergeSort","random",200,0.3538,1269
"MSDRadixSort","random",200,0.1814,398
"MSDRadixSortWithSwitch","random",200,0.0302,405
"QuickSort","random",300,0.0458,2482
"MergeSort","random",300,0.3077,2112
"StringQuickSort","random",300,0.026,2165
"StringMergeSort","random",300,0.3462,2112
"MSDRadixSort","random",300,0.2298,614
"MSDRadixSortWithSwitch","random",300,0.0583,719
"QuickSort","random",400,0.0899,3661
"MergeSort","random",400,0.4435,2949
"StringQuickSort","random",400,0.0365,3001
"StringMergeSort","random",400,0.4762,2949
"MSDRadixSort","random",400,0.2876,826
"MSDRadixSortWithSwitch","random",400,0.0925,1073
"QuickSort","random",500,0.0778,4273
"MergeSort","random",500,0.5402,3849
"StringQuickSort","random",500,0.0482,4021
"StringMergeSort","random",500,0.5983,3849
"MSDRadixSort","random",500,0.2945,1046
"MSDRadixSortWithSwitch","random",500,0.1137,1484
"QuickSort","random",600,0.1302,5934
"MergeSort","random",600,0.6596,4792
"StringQuickSort","random",600,0.0572,4868
"StringMergeSort","random",600,0.7632,4792
"MSDRadixSort","random",600,0.3531,1254
"MSDRadixSortWithSwitch","random",600,0.1413,1930
"QuickSort","random",700,0.1239,7002
"MergeSort","random",700,0.8381,5750
"StringQuickSort","random",700,0.0723,6453
"StringMergeSort","random",700,0.8958,5750
"MSDRadixSort","random",700,0.3898,1478
"MSDRadixSortWithSwitch","random",700,0.1418,2400
"QuickSort","random",800,0.1487,8446
"MergeSort","random",800,0.9389,6697
"StringQuickSort","random",800,0.0812,7078
"StringMergeSort","random",800,1.0648,6697
"MSDRadixSort","random",800,0.4332,1714
"MSDRadixSortWithSwitch","random",800,0.1723,2869
"QuickSort","random",900,0.1661,9805
"MergeSort","random",900,1.0259,7710
"StringQuickSort","random",900,0.0943,8313
"StringMergeSort","random",900,1.1903,7710
"MSDRadixSort","random",900,0.4919,1933
"MSDRadixSortWithSwitch","random",900,0.1889,3373
"QuickSort","random",1000,0.3143,12035
"MergeSort","random",1000,1.1629,8692
"StringQuickSort","random",1000,0.1036,9089
"StringMergeSort","random",1000,1.3766,8692
"MSDRadixSort","random",1000,0.5478,2157
"MSDRadixSortWithSwitch","random",1000,0.2035,3890
"QuickSort","random",1100,0.1998,11939
"MergeSort","random",1100,1.3693,9715
"StringQuickSort","random",1100,0.1162,10320
"StringMergeSort","random",1100,1.511,9715
"MSDRadixSort","random",1100,0.6177,2392
"MSDRadixSortWithSwitch","random",1100,0.2093,4436
"QuickSort","random",1200,0.2367,13237
"MergeSort","random",1200,1.3705,10774
"StringQuickSort","random",1200,0.1268,11014
"StringMergeSort","random",1200,1.6192,10774
"MSDRadixSort","random",1200,0.6709,2624
"MSDRadixSortWithSwitch","random",1200,0.245,5035
"QuickSort","random",1300,0.2687,15412
"MergeSort","random",1300,1.5132,11821
"StringQuickSort","random",1300,0.1423,12129
"StringMergeSort","random",1300,1.8105,11821
"MSDRadixSort","random",1300,0.7163,2849
"MSDRadixSortWithSwitch","random",1300,0.4182,5587
"QuickSort","random",1400,0.2629,16319
"MergeSort","random",1400,1.6808,12887
"StringQuickSort","random",1400,0.1555,13527
"StringMergeSort","random",1400,1.9314,12887
"MSDRadixSort","random",1400,0.8,3095
"MSDRadixSortWithSwitch","random",1400,0.2689,6160
"QuickSort","random",1500,0.2926,17387
"MergeSort","random",1500,1.7925,13983
"StringQuickSort","random",1500,0.1697,14382
"StringMergeSort","random",1500,2.1164,13983
"MSDRadixSort","random",1500,0.858,3340
"MSDRadixSortWithSwitch","random",1500,0.3051,6761
"QuickSort","random",1600,0.3045,18143
"MergeSort","random",1600,1.9777,15047
"StringQuickSort","random",1600,0.1823,15820
"StringMergeSort","random",1600,2.3001,15047
"MSDRadixSort","random",1600,0.9489,3585
"MSDRadixSortWithSwitch","random",1600,0.3627,7373
"QuickSort","random",1700,0.3404,21236
"MergeSort","random",1700,2.0812,16140
"StringQuickSort","random",1700,0.1945,16762
"StringMergeSort","random",1700,2.4512,16140
"MSDRadixSort","random",1700,0.9929,3836
"MSDRadixSortWithSwitch","random",1700,0.3517,7986
"QuickSort","random",1800,0.3447,20457
"MergeSort","random",1800,2.2323,17206
"StringQuickSort","random",1800,0.2039,18152
"StringMergeSort","random",1800,2.5902,17206
"MSDRadixSort","random",1800,1.059,4080
"MSDRadixSortWithSwitch","random",1800,0.3611,8652
"QuickSort","random",1900,0.3906,24773
"MergeSort","random",1900,2.3353,18273
"StringQuickSort","random",1900,0.2185,19143
"StringMergeSort","random",1900,2.858,18273
"MSDRadixSort","random",1900,1.1177,4328
"MSDRadixSortWithSwitch","random",1900,0.3784,9357
"QuickSort","random",2000,0.4307,25679
"MergeSort","random",2000,2.4579,19400
"StringQuickSort","random",2000,0.2344,21043
"StringMergeSort","random",2000,2.9166,19400
"MSDRadixSort","random",2000,1.1848,4584
"MSDRadixSortWithSwitch","random",2000,0.4284,10048
"QuickSort","random",2100,0.4153,24873
"MergeSort","random",2100,2.5944,20537
"StringQuickSort","random",2100,0.2516,22381
"StringMergeSort","random",2100,2.9997,20537
"MSDRadixSort","random",2100,1.2634,4848
"MSDRadixSortWithSwitch","random",2100,0.4343,10644
"QuickSort","random",2200,0.4524,27488
"MergeSort","random",2200,2.7167,21649
"StringQuickSort","random",2200,0.2726,23352
"StringMergeSort","random",2200,3.3363,21649
"MSDRadixSort","random",2200,1.3559,5096
"MSDRadixSortWithSwitch","random",2200,0.5008,11318
"QuickSort","random",2300,0.5793,28626
"MergeSort","random",2300,2.913,22832
"StringQuickSort","random",2300,0.275,24687
"StringMergeSort","random",2300,3.3872,22832
"MSDRadixSort","random",2300,1.6624,5357
"MSDRadixSortWithSwitch","random",2300,0.5068,11957
"QuickSort","random",2400,0.5298,32226
"MergeSort","random",2400,3.0048,23928
"StringQuickSort","random",2400,0.2847,25082
"StringMergeSort","random",2400,3.535,23928
"MSDRadixSort","random",2400,1.4821,5632
"MSDRadixSortWithSwitch","random",2400,0.5126,12589
"QuickSort","random",2500,0.656,32607
"MergeSort","random",2500,3.119,25083
"StringQuickSort","random",2500,0.3078,27444
"StringMergeSort","random",2500,3.6812,25083
"MSDRadixSort","random",2500,1.5664,5907
"MSDRadixSortWithSwitch","random",2500,0.5174,13306
"QuickSort","random",2600,0.6923,34179
"MergeSort","random",2600,3.2693,26223
"StringQuickSort","random",2600,0.3132,29089
"StringMergeSort","random",2600,3.831,26223
"MSDRadixSort","random",2600,1.6686,6183
"MSDRadixSortWithSwitch","random",2600,0.5415,14080
"QuickSort","random",2700,0.5755,33803
"MergeSort","random",2700,3.3422,27372
"StringQuickSort","random",2700,0.3265,28851
"StringMergeSort","random",2700,4.1941,27372
"MSDRadixSort","random",2700,1.8121,6458
"MSDRadixSortWithSwitch","random",2700,0.6376,14765
"QuickSort","random",2800,0.7193,37767
"MergeSort","random",2800,3.6219,28559
"StringQuickSort","random",2800,0.3396,29673
"StringMergeSort","random",2800,4.2303,28559
"MSDRadixSort","random",2800,1.8428,6722
