Algorithm,Data Type,Size,Time (ms),Comparisons
"QuickSort","random",100,0.0238,610
"MergeSort","random",100,0.141,542
"StringQuickSort","random",100,0.0122,596
"StringMergeSort","random",100,0.1496,542
"MSDRadixSort","random",100,0.1005,176
"MSDRadixSortWithSwitch","random",100,0.025,177
"QuickSort","random",200,0.0416,1524
"MergeSort","random",200,0.2857,1287
"StringQuickSort","random",200,0.0176,1317
"StringMergeSort","random",200,0.2151,1287
"MSDRadixSort","random",200,0.1407,399
"MSDRadixSortWithSwitch","random",200,0.0406,453
"QuickSort","random",300,0.0655,2605
"MergeSort","random",300,0.4313,2100
"StringQuickSort","random",300,0.0438,2193
"StringMergeSort","random",300,0.5096,2100
"MSDRadixSort","random",300,0.299,612
"MSDRadixSortWithSwitch","random",300,0.0767,758
"QuickSort","random",400,0.1026,3711
"MergeSort","random",400,0.4646,2976
"StringQuickSort","random",400,0.0394,3293
"StringMergeSort","random",400,0.4855,2976
"MSDRadixSort","random",400,0.2668,832
"MSDRadixSortWithSwitch","random",400,0.0792,1121
"QuickSort","random",500,0.0835,4634
"MergeSort","random",500,0.5192,3862
"StringQuickSort","random",500,0.0508,4292
"StringMergeSort","random",500,0.604,3862
"MSDRadixSort","random",500,0.2982,1042
"MSDRadixSortWithSwitch","random",500,0.1054,1552
"QuickSort","random",600,0.1266,5559
"MergeSort","random",600,0.9023,4792
"StringQuickSort","random",600,0.0988,5045
"StringMergeSort","random",600,0.7717,4792
"MSDRadixSort","random",600,0.3344,1254
"MSDRadixSortWithSwitch","random",600,0.1229,1963
"QuickSort","random",700,0.1651,7100
"MergeSort","random",700,0.7677,5750
"StringQuickSort","random",700,0.0718,6284
"StringMergeSort","random",700,0.8847,5750
"MSDRadixSort","random",700,0.3687,1474
"MSDRadixSortWithSwitch","random",700,0.1423,2395
"QuickSort","random",800,0.2655,8229
"MergeSort","random",800,0.9161,6747
"StringQuickSort","random",800,0.0872,7731
"StringMergeSort","random",800,1.0638,6747
"MSDRadixSort","random",800,0.4523,1699
"MSDRadixSortWithSwitch","random",800,0.1647,2883
"QuickSort","random",900,0.1604,9293
"MergeSort","random",900,1.037,7721
"StringQuickSort","random",900,0.0974,8644
"StringMergeSort","random",900,1.1819,7721
"MSDRadixSort","random",900,0.4986,1928
"MSDRadixSortWithSwitch","random",900,0.1816,3385
"QuickSort","random",1000,0.1774,10110
"MergeSort","random",1000,1.5359,8724
"StringQuickSort","random",1000,0.1071,9251
"StringMergeSort","random",1000,1.3535,8724
"MSDRadixSort","random",1000,0.5621,2166
"MSDRadixSortWithSwitch","random",1000,0.2061,3926
"QuickSort","random",1100,0.2703,12491
